song_id,song_name,artists,genres
9918647,MIA (feat. Drake),Bad Bunny; Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap,reggaeton,trap latino"
9729731,breathin,Ariana Grande,"dance pop,pop,post-teen pop"
10115114,沐春風,Kay Tse,"c-pop,cantopop"
4530,無盡,Supper Moment,cantopop
6206004,IDGAF,Dua Lipa,"dance pop,pop,post-teen pop,uk pop"
10117107,Project Dreams,Marshmello; Roddy Ricch,"brostep,progressive electro house,melodic rap,rap,southern hip hop,trap"
9698960,倒數,G.E.M.,"cantopop,mandopop"
8100729,SAD!,XXXTENTACION,"emo rap,miami hip hop"
10137326,困獸・28,Juno Mak,"c-pop,cantopop,chinese indie"
6970440,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld; Alesso; Florida Georgia Line; watt,"big room,dance pop,edm,electro house,pop,progressive electro house,tropical house,contemporary country,country,country pop,country road,modern country rock,dance pop,pop,post-teen pop,modern alternative rock"
10011485,Natural,Imagine Dragons,"modern rock,rock"
9944253,New Rules,Dua Lipa,"dance pop,pop,post-teen pop,uk pop"
10095383,Symphony (feat. Zara Larsson),Clean Bandit; Zara Larsson,"dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky,dance pop,edm,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house"
841349,演員,Joker Xue,mandopop
4476067,經過一些秋與冬,Dear Jane,"c-pop,cantopop"
4093557,大哥,Janice Vidal,"c-pop,cantopop"
7391305,假使世界原來不像你預期,Charmaine Fong,"c-pop,cantopop"
8106436,Lemon,Kenshi Yonezu,anime
6010,分手總約在雨天,Charmaine Fong,"c-pop,cantopop"
10138217,Hope,The Chainsmokers; Winona Oak,"electropop,pop,tropical house,swedish pop"
5986240,Treat You Better,Shawn Mendes,"canadian pop,pop,post-teen pop,viral pop"
4574,你是你本身的傳奇,Charmaine Fong,"c-pop,cantopop"
5537,說好的幸福呢,Jay Chou,"c-pop,mandopop,taiwan pop"
78126,Santa Tell Me,Ariana Grande,"dance pop,pop,post-teen pop"
10182318,形影不離,Hins Cheung,"c-pop,cantopop,mandopop"
10118883,Wake Up in the Sky,Gucci Mane; Bruno Mars; Kodak Black,"atl hip hop,dirty south rap,hip hop,pop,pop rap,rap,southern hip hop,trap,pop,florida rap,hip hop,melodic rap,miami hip hop,pop rap,rap,southern hip hop,trap"
7074159,再不再見,C AllStar,"c-pop,cantopop"
63889,All I Want for Christmas Is You,Mariah Carey,"dance pop,pop,r&b,urban contemporary"
10164395,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN; Conor Maynard; Sam Feldt,"australian pop,dance pop,pop,post-teen pop,viral pop,edm,electro house,pop,pop edm,tropical house,k-pop"
9898931,Mo Bamba,Sheck Wes,"rap,trap,underground hip hop,vapor trap"
7410121,獨一無二,AGA; Gin Lee,"c-pop,cantopop,malaysian mandopop,c-pop,cantopop"
10164367,Fire On Fire,Sam Smith,"pop,uk pop"
10087883,若然冬天沒有花,梁釗峰,""
10164913,裝睡的情人,Hins Cheung,"c-pop,cantopop,mandopop"
4992,A Thousand Years,Christina Perri,"dance pop,neo mellow,pop,pop rock,post-teen pop,viral pop"
10073301,Let You Love Me,Rita Ora,"dance pop,edm,pop,post-teen pop,tropical house,uk pop"
5263,以後別做朋友,Eric Chou,mandopop
10007984,What Lovers Do,Maroon 5; SZA,"pop,hip hop,pop,pop rap,rap"
4573,死性不改,Twins,"c-pop,cantopop,classic cantopop"
160364,Ye Hai Zi,Miriam Yeung,"c-pop,cantopop"
10131887,男人背後,Pakho Chau,"c-pop,cantopop"
9580970,Happy Now,Zedd; Elley Duhé,"complextro,dance pop,edm,electro house,german techno,pop,post-teen pop,tropical house,electropop,pop"
9564165,In My Feelings,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap"
8379589,rockstar,Post Malone; 21 Savage,"atl hip hop,pop rap,rap,southern hip hop,trap,dfw rap,melodic rap,pop,rap"
10010865,Waste It On Me (feat. BTS),Steve Aoki; BTS,"big room,dance pop,edm,electro house,pop,tropical house,k-pop,k-pop boy group"
9751460,In My Blood,Shawn Mendes,"canadian pop,pop,post-teen pop,viral pop"
283938,晴天,Jay Chou,"c-pop,mandopop,taiwan pop"
10138759,伯利恆的主角,Janice Vidal,"c-pop,cantopop"
7476596,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran; Beyoncé,"dance pop,pop,r&b,pop,uk pop"
4529,不許你注定一人,Dear Jane,"c-pop,cantopop"
4477986,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,"dance pop,pop,post-teen pop,uk pop"
3991487,富士山下,Eason Chan,"c-pop,cantopop,mandopop"
8480146,FAKE LOVE,BTS,"k-pop,k-pop boy group"
9875389,There's No Way (feat. Julia Michaels),Lauv; Julia Michaels,"dance pop,pop,dance pop,pop,post-teen pop"
7076845,Best Part,H.E.R.; Daniel Caesar,"canadian contemporary r&b,pop,pop,pop rap"
9593335,God's Plan,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap"
4545,別來無恙,Jason Chan,"c-pop,cantopop"
10124366,idontwannabeyouanymore,Billie Eilish,"electropop,pop"
9852123,大男孩,BOYZ,cantopop
10138758,歲月靜好,Hins Cheung,"c-pop,cantopop,mandopop"
5072665,無賴,Ronald Cheng,"c-pop,cantopop,classic cantopop,mandopop"
8218244,I Like It,Cardi B; Bad Bunny; J Balvin,"latin,reggaeton,pop,rap,reggaeton,trap latino"
10012017,Rise,Jonas Blue; Jack & Jack,"dance pop,edm,pop,tropical house,uk dance,australian pop,dance pop,pop,post-teen pop,social media pop,teen pop"
10139631,Beach House,The Chainsmokers,"electropop,pop,tropical house"
10010133,Hurts Like Hell (feat. Offset),Madison Beer; Offset,"dance pop,electropop,pop,post-teen pop,atl hip hop,pop,pop rap,rap,southern hip hop,trap"
10138177,Lost Control,Alan Walker; Sorana,"electro house,romanian pop"
4054011,男朋友,Louis Koo,cantopop
10136749,蠢,Eason Chan; eason and the duo band,"c-pop,cantopop,mandopop"
8638595,Wu Qi,AGA,"c-pop,cantopop"
10093506,停半分鐘聽一闋歌,Alfred Hui,"c-pop,cantopop"
10137327,暴烈・34,Juno Mak,"c-pop,cantopop,chinese indie"
2337397,高山低谷,Phil Lam,cantopop
10091418,白紙,Alfred Hui,"c-pop,cantopop"
9899452,時光如剪,JC 陳詠桐,"cantopop,mandopop"
9655285,"一二三,三二一",Miriam Yeung,"c-pop,cantopop"
9859738,錢七,Endy Chow,"c-pop,cantopop"
6871893,驗傷,Janice Vidal,"c-pop,cantopop"
9877366,逆流之歌 (電影《逆流大叔》主題曲),RubberBand,c-pop
10136748,敬菸,Eason Chan; eason and the duo band,"c-pop,cantopop,mandopop"
54945,只是太愛你(國),Hins Cheung,"c-pop,cantopop,mandopop"
10146905,There You Are,ZAYN,"dance pop,pop,post-teen pop,uk pop"
9991771,So Close,NOTD; Felix Jaehn; Captain Cuts; Georgia Ku,"dance pop,edm,electro house,german dance,pop,pop rap,tropical house,pop edm,uk pop,dance pop,edm,electro house,electropop,pop,pop edm,post-teen pop,tropical house"
10117007,Grip,Seeb; Bastille,"metropopolis,modern rock,pop,dance pop,edm,norwegian pop,pop,tropical house"
9898545,Calma - Remix,Pedro Capó; Farruko,"latin,reggaeton,trap latino,tropical,latin pop,puerto rican pop"
9395495,In My Head,Peter Manos,indie cafe pop
10208313,Gotta Go,CHUNG HA,k-pop
10201011,明明他已離開妳,Hins Cheung,"c-pop,cantopop,mandopop"
10011181,Someone You Loved,Lewis Capaldi,"pop,uk pop"
4053952,Kong,Justin Lo,"c-pop,cantopop"
10209734,假以時日,Hins Cheung,"c-pop,cantopop,mandopop"
10136755,與你常在,Eason Chan; eason and the duo band,"c-pop,cantopop,mandopop"
9835635,Leave Me Alone,Flipp Dinero,"melodic rap,rap,trap,vapor trap"
9730839,God is a woman,Ariana Grande,"dance pop,pop,post-teen pop"
4531,耿耿於懷,Juno Mak,"c-pop,cantopop,chinese indie"
9368296,Lie To Me,5 Seconds of Summer,"boy band,dance pop,pop,post-teen pop"
10135374,烏托邦 - TVB劇集「再創世紀」主題曲,Pakho Chau,"c-pop,cantopop"
10167664,"別再怕 - 劇集 """"兄弟"""" 片尾曲",HANA,cantopop
10134674,乒乓,Pakho Chau,"c-pop,cantopop"
552481,One Last Time,Ariana Grande,"dance pop,pop,post-teen pop"
9985163,揮揮手,JW,cantopop
9836938,comethru,Jeremy Zucker,pop
7793731,LOVE SCENARIO,iKON,"k-pop,k-pop boy group"
10124365,lovely - Bonus Track,Billie Eilish; Khalid,"electropop,pop,pop"
4155706,淘汰(國),Eason Chan,"c-pop,cantopop,mandopop"
10135378,亂世情侶,Leo Ku,"c-pop,cantopop,classic cantopop"
10118858,Roses (with Juice WRLD feat. Brendon Urie),benny blanco; Juice WRLD; Brendon Urie,"pop,chicago rap,melodic rap,pop,dance pop,edm,pop,tropical house"
5182460,Happier,Ed Sheeran,"pop,uk pop"
10050370,Woman Like Me (feat. Nicki Minaj),Little Mix; Nicki Minaj,"dance pop,hip pop,pop,pop rap,post-teen pop,rap,dance pop,girl group,pop,post-teen pop,talent show,uk pop"
10231094,Dancing With A Stranger (with Normani),Sam Smith; Normani,"pop,uk pop,dance pop,pop,post-teen pop,r&b"
10230233,怎麼了,Eric Chou,mandopop
10222206,I’M OK,iKON,"k-pop,k-pop boy group"
10228453,Hello My Love,Westlife,"boy band,dance pop,europop"
10231267,Lost in the Fire,Gesaffelstein; The Weeknd,"canadian contemporary r&b,canadian pop,pop,rap,destroy techno"
9729732,Promises (with Sam Smith),Calvin Harris; Sam Smith; Jessie Reyez,"edm,electro house,house,pop,progressive house,tropical house,uk dance,pop,uk pop,canadian contemporary r&b,canadian pop,dance pop,pop"
10230240,下一位前度,林家謙,""
4040275,I'm Not The Only One,Sam Smith,"pop,uk pop"
4039867,Stay With Me,Sam Smith,"pop,uk pop"
10225510,hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey,pop
10231268,Giant (with Rag'n'Bone Man),Calvin Harris; Rag'n'Bone Man,"edm,electro house,house,pop,progressive house,tropical house,uk dance,neo soul"
10052087,Let Me Down Slowly,Alec Benjamin,"dance pop,pop"
471203,每天愛你多一些,Jacky Cheung,"c-pop,cantopop,classic cantopop,classic mandopop,classic opm,mandopop"
247188,I'm Yours,Jason Mraz,"acoustic pop,neo mellow,pop,pop rock"
10243247,%%(Eung Eung),Apink,"dance pop,k-pop,k-pop girl group"
10226431,Lie To Me (feat. Julia Michaels),5 Seconds of Summer; Julia Michaels,"boy band,dance pop,pop,post-teen pop,dance pop,pop,post-teen pop"
